,Star_names,Distance,Gravity
142,2MASS J05002100+0330501 [de],44.0,Out of Range
143,2MASS J05012406-0010452 [de],64.0,273.3886765721481
144,2MASS J05160945-0445499 [de],73.0,Out of Range
145,2MASS J0523−1403,40.0,Out of Range
146,SDSS J053951.99-005902.0,41.62,Out of Range
147,LSR 0602+3910 [de],34.6,349.1718362013974
148,2MASS J06085283-2753583,Out of Range,Out of Range
149,2MASS J06244595-4521548 [de],39.0,Out of Range
150,2MASS J06411840-4322329 [de],65.0,Out of Range
151,DENIS-P J0652197-253450 [de],51.0,Out of Range
152,2MASS J07075327-4900503,60.0,Out of Range
153,UGPS J072227.51-054031.2,13.4,Out of Range
154,2MASSI J0727182+171001 [de],29.6,Out of Range
155,2MASS J07290002-3954043 [de],25.8,Out of Range
156,SDSS J074201.41+205520.5 [de],49.0,Out of Range
157,DENIS-P J0751164-253043 [de],55.0,Out of Range
158,2MASS J07522390+1612157,60.0,Out of Range
159,DENIS J081730.0-615520,16.1,Out of Range
160,2MASS J08251968+2115521 [de],35.0,Out of Range
161,SDSSp J083008.12+482847.4 [de],43.0,Out of Range
162,LHS 2021,55.0,Out of Range
163,SDSS J083048.80+012831.1 [de],77.0,Out of Range
164,2MASSI J0835425-081923 [de],23.53,Out of Range
165,2MASSI J0847287-153237 [de],43.0,Out of Range
166,2MASS J08533619-0329321,27.6,Out of Range
167,2MASSI J0859254-194926 [de],50.0,Out of Range
168,2MASSI J0937347+293142,20.0,Out of Range
169,2MASS 0939−2448,17.4,Out of Range
170,2MASS J09490860-1545485 [de],59.0,Out of Range
171,2MASS J10073369-4555147,46.0,Out of Range
172,2MASSI J1010148-040649 [de],55.0,Out of Range
173,2MASS J10224821+5825453 [de],60.0,336.7014134799189
174,2MASSW J1036530-344138 [de],53.0,Out of Range
175,2MASS J1047538+212423 [de],34.4,Out of Range
176,DEN 1048-3956,13.15,Out of Range
177,Luhman 16B,6.516,Out of Range
178,Luhman 16A,6.516,Out of Range
179,DENIS-P J1058.7−1548,49.0,Out of Range
180,TWA 28,Out of Range,156.25218516002334
181,Cha 110913-773444,Out of Range,Out of Range
182,SDSS J111010.01+011613.1,63.0,Out of Range
183,2MASS J11145133−2618235,18.2,Out of Range
184,TWA 26,Out of Range,153.6721947060209
185,2MASS J11544223-3400390 [de],Out of Range,Out of Range
186,2MASSW J1155395-372735 [de],31.0,Out of Range
187,2MASS J12074836-3900043,Out of Range,Out of Range
188,2MASSI J1217110-031113 [de],36.0,Out of Range
189,2M 1237+6526,45.6,Out of Range
190,TWA 29,Out of Range,Out of Range
191,SDSSp J125453.90-012247.4 [de],38.0,Out of Range
192,Kelu-1A,61.0,Out of Range
193,Kelu-1B,61.0,Out of Range
194,2MASS J13204427+0409045,Out of Range,Out of Range
195,SDSSp J132629.82-003831.5 [de],65.0,Out of Range
196,SDSSp J134646.45-003150.4 [de],48.0,Out of Range
197,2MASS J13595510-4034582,51.0,Out of Range
198,ULAS J141623.94+134836.3,29.7,Out of Range
199,SDSS J141659.78+500626.4 [de],Out of Range,Out of Range
200,DENIS-P J142527.97-365023.4 [de],38.0,298.8070452617073
201,LHS 2924,38.5,Out of Range
202,2MASS J14392837+1929150,47.0,Out of Range
203,LSPM J1440+1339,72.0,Out of Range
204,2MASS J14482563+1031590 [de],47.0,Out of Range
205,CFBDSIR 1458+10A,Out of Range,Out of Range
206,CFBDSIR 1458+10B,Out of Range,Out of Range
207,TVLM 513-46546,35.1,Out of Range
208,2MASS 1503+2525,20.7,Out of Range
209,CFBDS J150411+102717,71.0,Out of Range
210,2MASSW J1506544+132106 [de],46.0,Out of Range
211,2MASS 1507−1627,23.9,Out of Range
212,TVLM 868-110639,53.0,Out of Range
213,2MASSW J1515008+484742 [de],34.0,Out of Range
214,2MASSI J1526140+204341 [de],67.0,Out of Range
215,DENIS-P J153941.96-052042.4 [de],51.0,Out of Range
216,2MASS J15462718-3325111 [de],37.0,Out of Range
